date,retailerCountry,orderMethodType,retailerType,productLine,productType,productId,revenue,quantity,grossMargin
2016-09-11,China,Web,Golf Shop,Personal Accessories,Eyewear,1050,59891,880,0.41884206
2017-07-17,China,Web,Golf Shop,Personal Accessories,Eyewear,1050,21018.4,323,0.46338779
2015-11-08,China,Web,Golf Shop,Personal Accessories,Eyewear,1050,33929.6,527,0.42156082
2016-11-17,China,Web,Golf Shop,Personal Accessories,Eyewear,1050,18814.85,288,0.45451864
2015-02-20,China,Telephone,Golf Shop,Golf Equipment,Woods,1062,308263.56,258,0.42250716
2015-03-13,China,Web,Golf Shop,Golf Equipment,Woods,1062,157716.24,132,0.42250716
2016-01-06,China,Web,Golf Shop,Golf Equipment,Woods,1062,376201.89,319,0.49980049
2016-01-04,China,Sales visit,Golf Shop,Golf Equipment,Woods,1062,177506.91,147,0.48738334
2017-02-23,China,Web,Golf Shop,Golf Equipment,Woods,1062,1058301.46,906,0.48651672
2015-05-04,China,Fax,Golf Shop,Golf Equipment,Woods,1062,264055.22,221,0.42250716
2015-06-14,China,Web,Golf Shop,Golf Equipment,Woods,1062,127845.74,107,0.42250716
2016-06-06,China,Telephone,Golf Shop,Golf Equipment,Woods,1062,625880.25,533,0.50045252
2016-04-17,China,Web,Golf Shop,Golf Equipment,Woods,1062,240298.47,199,0.48738334
2017-04-17,China,Web,Golf Shop,Golf Equipment,Woods,1062,806630.04,668,0.48738334
2015-09-21,China,Telephone,Golf Shop,Golf Equipment,Woods,1062,431330.02,361,0.42250716
2016-07-09,China,Web,Golf Shop,Golf Equipment,Woods,1062,620670.42,514,0.48738334
2017-07-01,China,Web,Golf Shop,Golf Equipment,Woods,1062,251166.24,208,0.48738334
2015-11-23,China,Web,Golf Shop,Golf Equipment,Woods,1062,354861.54,297,0.42250716
2015-12-20,China,Fax,Golf Shop,Golf Equipment,Woods,1062,139793.94,117,0.42250716
2016-10-07,China,Web,Golf Shop,Golf Equipment,Woods,1062,608595.12,504,0.48738334
2015-03-16,China,Fax,Golf Shop,Golf Equipment,Irons,1058,69057.8,214,0.31515339
2015-03-15,China,Telephone,Golf Shop,Golf Equipment,Irons,1058,252074.8,620,0.45643119
2016-01-26,China,Fax,Golf Shop,Golf Equipment,Irons,1058,214872.1,477,0.50939652
2016-01-23,China,Sales visit,Golf Shop,Golf Equipment,Irons,1058,101604.4,232,0.49537618
2016-03-21,China,Web,Golf Shop,Golf Equipment,Irons,1058,119399,259,0.52060738
2017-03-13,China,Web,Golf Shop,Golf Equipment,Irons,1058,440024.5,984,0.50579115
2015-05-22,China,Web,Golf Shop,Golf Equipment,Irons,1058,69334.4,160,0.49000785
2015-05-19,China,Fax,Golf Shop,Golf Equipment,Irons,1058,120035.18,277,0.49000785
2016-05-03,China,Telephone,Golf Shop,Golf Equipment,Irons,1058,197953.4,452,0.49537618
2016-05-08,China,Web,Golf Shop,Golf Equipment,Irons,1058,99852.6,228,0.49537618
2017-05-12,China,Web,Golf Shop,Golf Equipment,Irons,1058,323207.1,738,0.49537618
2015-08-08,China,Fax,Golf Shop,Golf Equipment,Irons,1058,144735.56,334,0.49000785
2015-07-09,China,Web,Golf Shop,Golf Equipment,Irons,1058,68034.38,157,0.49000785
2016-07-19,China,Web,Golf Shop,Golf Equipment,Irons,1058,329338.4,752,0.49537618
2017-09-04,China,Web,Golf Shop,Golf Equipment,Irons,1058,124815.75,285,0.49537618
2015-10-10,China,Fax,Golf Shop,Golf Equipment,Irons,1058,71501.1,165,0.49000785
2015-11-05,China,Web,Golf Shop,Golf Equipment,Irons,1058,146902.26,339,0.49000785
2016-11-14,China,Web,Golf Shop,Golf Equipment,Irons,1058,304375.25,695,0.49537618
2017-01-19,China,Web,Golf Shop,Outdoor Protection,First Aid,1041,428.86,82,0.63288719
2016-01-06,China,Fax,Golf Shop,Outdoor Protection,Insect Repellents,1038,11868.92,1748,0.64359352
2017-01-22,China,Web,Golf Shop,Outdoor Protection,Insect Repellents,1114,0,394,
2016-02-19,China,Web,Golf Shop,Personal Accessories,Eyewear,1033,12159.08,200,0.56986877
2016-02-14,China,Fax,Golf Shop,Personal Accessories,Eyewear,1033,2411.76,39,0.57713454
2016-01-05,China,Sales visit,Golf Shop,Personal Accessories,Eyewear,1033,6012.42,99,0.56941631
2017-02-15,China,Web,Golf Shop,Personal Accessories,Eyewear,1033,13709.42,230,0.56883661
2016-04-10,China,Telephone,Golf Shop,Personal Accessories,Eyewear,1033,3740.31,63,0.55954186
2016-05-15,China,Web,Golf Shop,Personal Accessories,Eyewear,1033,4993.75,85,0.55489362
2016-05-05,China,Sales visit,Golf Shop,Personal Accessories,Eyewear,1033,7185.9,120,0.56331148
2017-06-11,China,Web,Golf Shop,Personal Accessories,Eyewear,1033,20503.75,349,0.56255319
2016-08-06,China,Web,Golf Shop,Personal Accessories,Eyewear,1033,17710.07,297,0.56146136
2017-08-14,China,Web,Golf Shop,Personal Accessories,Eyewear,1033,6110,104,0.56255319
2016-12-17,China,Web,Golf Shop,Personal Accessories,Eyewear,1033,10165.1,170,0.56267031
2017-02-23,China,Web,Golf Shop,Outdoor Protection,Sunscreen,1116,2036,460,0.55943026
2015-03-04,China,Web,Golf Shop,Personal Accessories,Eyewear,1046,12485.8,326,0.34186836
2016-02-21,China,Web,Golf Shop,Personal Accessories,Eyewear,1046,7047.2,184,0.33707572
2017-03-26,China,Web,Golf Shop,Personal Accessories,Eyewear,1046,23975.8,626,0.35294213
2015-04-15,China,Web,Golf Shop,Personal Accessories,Eyewear,1046,2527.8,66,0.33916449
2016-05-21,China,Web,Golf Shop,Personal Accessories,Eyewear,1046,27729.2,724,0.34357212
2017-05-08,China,Web,Golf Shop,Personal Accessories,Eyewear,1046,26618.5,695,0.35687435
2015-07-24,China,Web,Golf Shop,Personal Accessories,Eyewear,1046,10762.3,281,0.33442944
2016-09-20,China,Web,Golf Shop,Personal Accessories,Eyewear,1046,2642.7,69,0.34308094
2017-07-25,China,Web,Golf Shop,Personal Accessories,Eyewear,1046,13290.1,347,0.35770235
2015-12-26,China,Web,Golf Shop,Personal Accessories,Eyewear,1046,36116.9,943,0.33587739
2016-11-11,China,Web,Golf Shop,Personal Accessories,Eyewear,1046,11758.1,307,0.35065274
2016-01-08,China,Fax,Golf Shop,Outdoor Protection,Sunscreen,1039,2540,508,0.608
2015-02-13,China,Telephone,Golf Shop,Golf Equipment,Irons,1060,110674.59,221,0.44535634
2015-01-25,China,Fax,Golf Shop,Golf Equipment,Irons,1060,57590.85,115,0.44535634
2016-01-26,China,Web,Golf Shop,Golf Equipment,Irons,1060,68324.85,135,0.4511865
2016-02-09,China,Fax,Golf Shop,Golf Equipment,Irons,1060,51623.22,102,0.4511865
2016-03-02,China,Sales visit,Golf Shop,Golf Equipment,Irons,1060,74398.17,147,0.4511865
2017-02-03,China,Web,Golf Shop,Golf Equipment,Irons,1060,238883.92,472,0.4511865
2015-05-09,China,Web,Golf Shop,Golf Equipment,Irons,1060,154744.11,309,0.44535634
2016-06-24,China,Sales visit,Golf Shop,Golf Equipment,Irons,1060,78447.05,155,0.4511865
2016-06-09,China,Telephone,Golf Shop,Golf Equipment,Irons,1060,66300.41,131,0.4511865
2016-06-18,China,Web,Golf Shop,Golf Equipment,Irons,1060,107295.32,212,0.4511865
2017-05-02,China,Web,Golf Shop,Golf Equipment,Irons,1060,243438.91,481,0.4511865
2015-09-05,China,Web,Golf Shop,Golf Equipment,Irons,1060,100658.79,201,0.44535634
2015-07-16,China,Telephone,Golf Shop,Golf Equipment,Irons,1060,42567.15,85,0.44535634
2016-07-22,China,Web,Golf Shop,Golf Equipment,Irons,1060,231798.38,458,0.4511865
2017-08-11,China,Web,Golf Shop,Golf Equipment,Irons,1060,89581.47,177,0.4511865
2015-11-03,China,Web,Golf Shop,Golf Equipment,Irons,1060,58091.64,116,0.44535634
2015-10-21,China,Fax,Golf Shop,Golf Equipment,Irons,1060,120189.6,240,0.44535634
2016-10-10,China,Web,Golf Shop,Golf Equipment,Irons,1060,219145.63,433,0.4511865
2016-01-15,China,Web,Golf Shop,Personal Accessories,Navigation,1112,11186,47,0.35336134
2017-02-07,China,Web,Golf Shop,Personal Accessories,Eyewear,1104,7341.84,132,0.31193815
2015-03-22,China,Web,Golf Shop,Golf Equipment,Woods,1064,102251.2,80,0.48311609
2015-01-22,China,Telephone,Golf Shop,Golf Equipment,Woods,1064,194277.28,152,0.48311609
2016-02-12,China,Sales visit,Golf Shop,Golf Equipment,Woods,1064,133048.19,103,0.52776509
2016-02-09,China,Web,Golf Shop,Golf Equipment,Woods,1064,228636.21,177,0.52776509
2017-03-06,China,Web,Golf Shop,Golf Equipment,Woods,1064,528317.57,409,0.52776509
2015-06-04,China,Fax,Golf Shop,Golf Equipment,Woods,1064,194277.28,152,0.48311609
2015-05-10,China,Telephone,Golf Shop,Golf Equipment,Woods,1064,89469.8,70,0.48311609
2016-05-15,China,Sales visit,Golf Shop,Golf Equipment,Woods,1064,124006.08,96,0.52776509
2016-05-13,China,Web,Golf Shop,Golf Equipment,Woods,1064,170508.36,132,0.52776509
2016-06-02,China,Telephone,Golf Shop,Golf Equipment,Woods,1064,165341.44,128,0.52776509
2017-05-02,China,Web,Golf Shop,Golf Equipment,Woods,1064,545110.06,422,0.52776509
2015-09-24,China,Web,Golf Shop,Golf Equipment,Woods,1064,84357.24,66,0.48311609
2015-07-06,China,Telephone,Golf Shop,Golf Equipment,Woods,1064,89469.8,70,0.48311609
2015-07-12,China,Fax,Golf Shop,Golf Equipment,Woods,1064,90747.94,71,0.48311609
2016-08-24,China,Web,Golf Shop,Golf Equipment,Woods,1064,396561.11,307,0.52776509
2017-09-07,China,Web,Golf Shop,Golf Equipment,Woods,1064,174383.55,135,0.52776509
2015-10-15,China,Web,Golf Shop,Golf Equipment,Woods,1064,222396.36,174,0.48311609
2015-10-10,China,Fax,Golf Shop,Golf Equipment,Woods,1064,98416.78,77,0.48311609
2016-10-22,China,Web,Golf Shop,Golf Equipment,Woods,1064,388810.73,301,0.52776509
2015-01-15,China,Web,Golf Shop,Personal Accessories,Binoculars,1109,7590,69,0.544
2015-06-20,China,Web,Golf Shop,Personal Accessories,Binoculars,1109,13310,121,0.54090909
2016-04-19,China,Web,Golf Shop,Personal Accessories,Binoculars,1109,2860,26,0.54054545
2015-07-23,China,Web,Golf Shop,Personal Accessories,Binoculars,1109,5060,46,0.54063636
2015-12-26,China,Web,Golf Shop,Personal Accessories,Binoculars,1109,8140,74,0.543
2016-12-17,China,Web,Golf Shop,Personal Accessories,Binoculars,1109,10560,96,0.54336364
2015-02-21,China,Web,Golf Shop,Personal Accessories,Eyewear,1106,17658,436,0.40418507
2016-02-05,China,Web,Golf Shop,Personal Accessories,Eyewear,1106,2227.5,55,0.43382716
2017-03-07,China,Web,Golf Shop,Personal Accessories,Eyewear,1106,43134.75,1009,0.409468
2015-05-22,China,Web,Golf Shop,Personal Accessories,Eyewear,1106,18670.5,461,0.39676495
2016-05-16,China,Web,Golf Shop,Personal Accessories,Eyewear,1106,32116.5,793,0.40005823
2017-04-02,China,Web,Golf Shop,Personal Accessories,Eyewear,1106,79862.5,1866,0.41874872
2015-09-05,China,Web,Golf Shop,Personal Accessories,Eyewear,1106,16119,398,0.39760655
2016-08-25,China,Web,Golf Shop,Personal Accessories,Eyewear,1106,22767.75,554,0.42075787
2017-07-05,China,Web,Golf Shop,Personal Accessories,Eyewear,1106,11173,261,0.42081357
2015-10-15,China,Web,Golf Shop,Personal Accessories,Eyewear,1106,41958,1036,0.40008556
2016-12-20,China,Web,Golf Shop,Personal Accessories,Eyewear,1106,68840.5,1609,0.41411901
2016-02-14,China,Sales visit,Golf Shop,Personal Accessories,Eyewear,1103,3651.49,31,0.50012735
2016-01-11,China,Web,Golf Shop,Personal Accessories,Eyewear,1103,19917.27,169,0.50039739
2017-01-24,China,Web,Golf Shop,Personal Accessories,Eyewear,1103,20283.18,174,0.49489577
2016-04-10,China,Web,Golf Shop,Personal Accessories,Eyewear,1103,17135.79,147,0.49489577
2016-04-14,China,Telephone,Golf Shop,Personal Accessories,Eyewear,1103,11540.43,99,0.49489577
2017-05-05,China,Web,Golf Shop,Personal Accessories,Eyewear,1103,25878.54,222,0.49489577
2016-09-12,China,Web,Golf Shop,Personal Accessories,Eyewear,1103,8082.37,69,0.49733556
2017-07-19,China,Web,Golf Shop,Personal Accessories,Eyewear,1103,6761.06,58,0.49489577
2016-12-03,China,Web,Golf Shop,Personal Accessories,Eyewear,1103,11773.57,101,0.49489577
2015-03-19,China,Telephone,Golf Shop,Golf Equipment,Golf Accessories,1070,33259.2,2981,0.46222399
2015-03-07,China,Fax,Golf Shop,Golf Equipment,Golf Accessories,1070,19082.56,1568,0.50698439
2016-03-03,China,Fax,Golf Shop,Golf Equipment,Golf Accessories,1070,30672.34,2758,0.46049111
2016-02-25,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1070,0,58,
2016-01-02,China,Sales visit,Golf Shop,Golf Equipment,Golf Accessories,1070,17066.39,1431,0.49690591
2017-02-09,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1070,79488.26,6532,0.4683235
2015-05-18,China,Telephone,Golf Shop,Golf Equipment,Golf Accessories,1070,14206.5,1155,0.51219512
2015-04-03,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1070,30110.4,2448,0.51219512
2016-04-09,China,Telephone,Golf Shop,Golf Equipment,Golf Accessories,1070,18782.1,1527,0.51219512
2016-05-07,China,Sales visit,Golf Shop,Golf Equipment,Golf Accessories,1070,21795.6,1772,0.51219512
2016-05-08,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1070,24464.7,1989,0.51219512
2017-05-11,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1070,71881.2,5844,0.47398374
2015-08-17,China,Fax,Golf Shop,Golf Equipment,Golf Accessories,1070,30184.2,2454,0.51219512
2015-07-20,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1070,14169.6,1152,0.51219512
2016-09-24,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1070,61290.9,4983,0.51219512
2017-08-01,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1070,24181.8,1966,0.47398374
2015-10-20,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1070,34526.1,2807,0.51219512
2015-10-23,China,Fax,Golf Shop,Golf Equipment,Golf Accessories,1070,20384.75,1675,0.50698439
2016-10-18,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1070,56760.02,4585,0.51532787
2016-02-20,China,Web,Golf Shop,Personal Accessories,Watches,1133,4983.9,111,0.38396437
2017-01-06,China,Web,Golf Shop,Personal Accessories,Watches,1133,35569.6,752,0.39752766
2017-04-06,China,Web,Golf Shop,Personal Accessories,Watches,1133,33204.6,702,0.40223583
2015-08-10,China,Web,Golf Shop,Personal Accessories,Watches,1133,14368,320,0.38173719
2016-07-20,China,Web,Golf Shop,Personal Accessories,Watches,1133,21285,450,0.39392248
2017-09-16,China,Web,Golf Shop,Personal Accessories,Watches,1133,13527.8,286,0.402537
2015-12-06,China,Web,Golf Shop,Personal Accessories,Watches,1133,12976.1,289,0.38413853
2016-11-11,China,Web,Golf Shop,Personal Accessories,Watches,1133,30272,640,0.40128369
2015-01-08,China,Telephone,Golf Shop,Golf Equipment,Golf Accessories,1069,26729.78,2895,0.69674273
2015-02-14,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1069,13936.65,1365,0.72575906
2016-02-19,China,Sales visit,Golf Shop,Golf Equipment,Golf Accessories,1069,12693.6,1288,0.71588832
2016-03-12,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1069,23736,2358,0.72184024
2016-01-13,China,Fax,Golf Shop,Golf Equipment,Golf Accessories,1069,0,300,
2017-03-08,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1069,54858.04,5394,0.66568984
2015-06-03,China,Telephone,Golf Shop,Golf Equipment,Golf Accessories,1069,22244.07,2168,0.7271003
2015-06-25,China,Fax,Golf Shop,Golf Equipment,Golf Accessories,1069,10649.03,1043,0.72575906
2016-05-04,China,Telephone,Golf Shop,Golf Equipment,Golf Accessories,1069,36939.78,3618,0.72575906
2016-05-20,China,Sales visit,Golf Shop,Golf Equipment,Golf Accessories,1069,14468.64,1402,0.72868217
2017-04-23,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1069,55464.12,6710,0.58867102
2015-07-12,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1069,13579.3,1330,0.72575906
2015-09-20,China,Fax,Golf Shop,Golf Equipment,Golf Accessories,1069,23513.63,2303,0.72575906
2016-09-11,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1069,45925.43,4483,0.72667866
2017-08-23,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1069,20341.32,2012,0.66369931
2015-11-08,China,Fax,Golf Shop,Golf Equipment,Golf Accessories,1069,28179.6,2760,0.72575906
2015-12-11,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1069,13313.84,1304,0.72575906
2016-10-08,China,Web,Golf Shop,Golf Equipment,Golf Accessories,1069,40433.76,3918,0.72868217
2016-02-13,China,Web,Golf Shop,Personal Accessories,Navigation,1111,44577.78,402,0.33772207
2017-03-25,China,Web,Golf Shop,Personal Accessories,Navigation,1143,12220,52,0.35087234
2016-06-09,China,Web,Golf Shop,Personal Accessories,Navigation,1143,7285,31,0.3506383
2017-04-23,China,Web,Golf Shop,Personal Accessories,Navigation,1143,13395,57,0.34834043
2016-11-14,China,Web,Golf Shop,Personal Accessories,Navigation,1143,17625,75,0.34829787
2015-01-11,China,Telephone,Golf Shop,Golf Equipment,Woods,1065,140411.88,164,0.44845066
2015-01-19,China,Web,Golf Shop,Golf Equipment,Woods,1065,80479.98,94,0.44845066
2016-03-19,China,Web,Golf Shop,Golf Equipment,Woods,1065,102103.04,118,0.51345229
2016-03-25,China,Sales visit,Golf Shop,Golf Equipment,Woods,1065,74414.08,86,0.51345229
